distance_km,delivery_time_min
19.04,65.49
47.56,157.78
36.73,114.8
30.13,86.61
8.22,35.37
8.22,24.8
3.38,16.97
43.38,137.28
30.26,96.27
35.55,103.11
1.52,8.1
48.51,144.25
41.71,131.93
11.01,34.49
9.5,25.0
9.58,36.58
15.56,46.61
26.48,84.96
21.88,67.7
14.92,53.22
30.79,100.66
7.4,28.17
14.96,49.45
18.63,59.14
23.08,69.41
39.37,120.75
10.38,38.07
25.95,90.68
29.82,96.76
2.8,16.26
30.57,96.29
8.94,33.93
3.72,7.57
47.47,144.52
48.3,152.71
40.52,129.43
15.58,49.56
5.33,15.77
34.37,107.82
22.29,70.12
6.54,28.39
25.01,82.85
2.2,17.8
45.51,145.98
13.31,43.83
33.29,106.28
15.93,60.93
26.24,82.13
27.56,88.39
9.65,33.93
48.49,150.55
38.87,118.11
47.01,151.25
44.79,135.71
30.1,102.72
46.13,149.95
4.88,20.64
10.2,35.63
2.74,10.11
16.6,55.1
19.74,68.54
13.93,44.06
41.52,135.44
18.16,63.58
14.41,47.79
27.36,90.27
7.48,23.78
40.21,125.21
4.19,26.44
49.35,157.83
38.73,123.17
10.34,36.29
0.77,7.02
40.87,127.48
35.49,108.37
36.59,117.37
38.68,125.21
4.17,16.49
18.24,61.6
6.24,20.8
43.22,134.4
31.35,95.67
16.88,54.73
3.65,16.42
15.89,55.1
16.6,52.34
36.62,116.75
32.06,97.35
44.42,139.52
23.87,85.47
6.42,22.77
35.81,107.08
38.16,123.06
28.28,90.99
38.66,122.82
24.94,84.92
26.38,81.28
21.66,67.27
1.76,12.45
5.84,26.68
2.06,12.12
32.0,100.72
16.06,54.47
25.67,84.96
45.42,135.48
12.84,39.56
20.81,67.09
37.9,121.46
11.83,49.16
4.31,17.48
14.84,50.51
8.48,27.78
46.52,147.19
40.5,122.11
31.85,100.51
43.64,132.11
40.28,117.4
9.74,44.98
44.68,142.25
27.2,89.83
40.47,130.04
44.86,145.27
16.24,54.37
5.95,26.32
11.78,38.35
21.64,69.24
40.99,121.84
43.11,135.13
0.84,5.41
25.78,81.81
21.16,71.8
11.49,40.69
6.43,28.42
17.21,54.27
47.17,148.05
16.5,51.94
26.18,82.84
35.3,109.67
18.5,56.44
48.6,149.16
48.14,151.73
12.96,40.23
25.11,77.69
15.39,56.16
14.6,54.47
2.33,15.31
30.67,103.85
25.38,86.61
3.05,13.79
14.29,55.84
45.46,147.62
12.36,41.79
7.67,29.02
24.73,76.54
49.29,152.49
12.48,36.23
33.77,103.97
38.2,122.78
12.26,37.69
36.55,113.39
18.71,63.35
31.8,99.24
31.86,105.19
27.02,90.85
4.97,17.44
41.85,128.79
16.38,54.32
9.73,31.54
2.52,19.09
29.75,92.6
34.04,110.76
1.32,3.0
25.85,79.45
11.71,35.79
32.44,97.33
9.13,30.33
34.7,110.57
19.64,70.06
46.87,144.8
7.31,27.25
17.38,58.51
6.12,20.44
46.27,143.72
43.93,145.14
13.27,46.36
33.17,112.86
40.95,127.95
27.98,86.47
26.72,89.33
12.47,47.47
5.11,18.34
44.91,141.19
45.07,139.96
31.84,94.99
17.28,51.55
17.79,57.54
36.43,118.9
44.91,143.12
44.41,134.57
39.1,117.82
32.28,98.35
4.66,15.16
8.5,26.97
44.98,131.83
30.52,86.78
0.96,3.0
5.52,15.37
33.34,109.7
0.75,21.67
8.46,38.46
27.66,88.98
34.75,106.14
32.77,101.59
11.6,40.37
35.75,120.53
12.24,37.77
16.61,54.83
37.45,117.74
32.66,102.62
42.54,124.57
33.05,103.05
28.63,85.48
5.14,29.56
18.7,63.39
13.63,50.35
12.58,39.19
48.66,149.2
19.96,73.04
44.66,143.07
31.74,101.91
39.84,129.9
25.38,88.99
29.06,98.24
24.88,83.84
10.16,40.08
36.26,112.47
14.4,48.98
1.7,12.83
32.45,103.63
9.27,34.81
47.05,145.59
47.72,137.24
45.79,145.06
18.82,61.9
1.27,9.3
46.45,153.16
21.7,71.51
48.35,146.83
48.2,152.35
42.72,133.51
15.08,54.69
19.56,61.3
42.63,129.63
16.19,51.4
8.89,24.75
28.06,87.43
46.84,151.88
34.95,106.95
28.72,85.73
5.31,18.82
30.94,98.71
49.51,150.54
7.43,27.59
26.16,84.48
43.93,136.8
37.17,116.15
35.0,117.06
35.27,111.53
18.29,56.72
15.03,53.12
40.56,126.45
40.6,127.09
43.42,139.31
45.71,147.48
25.81,77.88
25.33,87.9
40.02,124.79
32.67,102.79
35.25,106.7
39.89,127.66
44.56,132.98
17.23,58.85
19.09,68.88
5.15,19.2
29.12,96.7
2.28,12.17
23.55,70.07
27.36,87.56
14.68,48.31
29.75,97.82
2.01,9.58
2.35,14.04
41.22,124.43
18.33,61.71
6.79,25.46
26.35,83.54
38.61,120.97
11.18,37.38
31.33,99.57
4.72,18.39
3.06,10.28
26.8,80.22
27.26,84.81
