session_duration_sec,avg_latency_ms,packet_loss_percent,signal_strength_dbm,throughput_mbps,jitter_ms,handover_count,connected_users,cpu_utilization_percent,issue_type
479,92,1.94,-69,48,29,4,182,86,1
361,36,0.81,-113,90,8,5,82,31,2
406,132,5.24,-81,19,31,7,130,84,3
408,91,3.2,-73,48,27,7,259,84,1
376,102,1.83,-68,45,28,4,207,94,1
349,31,1.17,-120,69,9,3,68,52,2
399,108,1.19,-74,20,22,4,275,86,1
433,15,0.05,-70,210,3,1,24,36,0
367,32,0.96,-111,90,9,3,85,41,2
433,94,1.03,-69,43,28,8,277,94,1
410,93,1.33,-77,42,23,6,218,81,1
409,146,4.91,-78,28,36,4,122,68,3
433,30,0.22,-71,224,2,2,56,38,0
425,129,2.68,-76,27,29,5,234,96,1
377,31,0.85,-108,52,6,5,95,42,2
317,86,1.82,-68,43,24,4,241,87,1
401,138,5.89,-87,34,30,5,108,65,3
404,177,7.56,-81,14,46,9,149,69,3
399,25,0.23,-74,204,4,2,55,25,0
487,96,2.53,-75,46,16,4,180,76,1
362,118,1.26,-78,30,26,4,189,78,1
391,46,0.91,-107,63,4,4,99,34,2
441,152,7.08,-86,11,35,4,160,84,3
406,13,0.31,-75,236,4,0,35,24,0
322,133,5.05,-88,24,39,9,122,69,3
340,115,6.4,-89,25,48,7,122,72,3
416,96,3.34,-73,35,30,4,264,97,1
417,127,7.4,-88,13,32,7,130,79,3
259,36,1.56,-114,54,9,4,100,32,2
305,20,0.4,-71,211,5,0,57,45,0
370,56,1.06,-111,77,8,5,98,38,2
429,11,0.39,-67,233,5,0,27,23,0
465,86,2.63,-68,54,17,6,253,88,1
303,129,1.89,-76,44,20,5,201,93,1
448,21,0.47,-73,158,4,2,32,43,0
236,49,1.6,-113,70,10,3,82,44,2
289,38,1.44,-112,71,10,4,79,40,2
407,131,7.77,-89,24,36,5,125,83,3
440,10,0.42,-70,227,2,0,57,45,0
317,83,2.67,-69,35,17,3,261,80,1
332,91,1.4,-68,24,28,6,204,84,1
444,81,1.16,-70,35,27,7,223,91,1
402,21,0.06,-74,229,2,1,61,29,0
297,37,1.96,-115,65,6,2,59,55,2
383,53,1.57,-102,72,4,2,68,41,2
326,127,3.02,-68,52,21,4,291,75,1
389,48,0.59,-105,78,4,2,75,49,2
364,56,0.99,-105,76,6,2,82,34,2
383,81,3.04,-78,47,21,5,263,94,1
425,129,6.52,-90,10,50,9,129,77,3
265,24,0.35,-75,229,2,1,41,29,0
350,128,6.21,-78,22,46,7,171,82,3
408,16,0.4,-74,209,5,2,68,27,0
289,15,0.31,-65,166,4,0,31,45,0
324,128,1.38,-76,51,23,8,263,77,1
399,165,5.72,-86,10,43,8,117,70,3
412,51,1.45,-112,70,5,6,66,55,2
332,109,1.03,-68,58,23,4,287,98,1
340,114,3.44,-75,53,23,5,277,98,1
426,83,2.48,-71,57,16,4,284,80,1
247,53,1.59,-114,72,7,3,40,37,2
367,100,2.97,-75,29,24,7,248,77,1
322,168,7.94,-90,30,38,9,173,77,3
301,16,0.27,-67,213,3,0,37,39,0
326,53,0.51,-102,75,4,5,65,34,2
282,132,7.44,-81,20,41,5,174,65,3
248,58,1.3,-120,85,7,4,75,45,2
397,17,0.26,-72,186,5,2,34,40,0
335,122,2.16,-76,41,26,8,188,75,1
312,83,1.35,-73,40,30,8,289,98,1
340,155,5.41,-90,28,41,4,141,78,3
404,85,2.77,-73,22,29,7,192,85,1
422,170,7.41,-86,30,48,5,142,81,3
367,15,0.21,-75,160,5,1,48,36,0
400,158,6.85,-90,25,37,7,152,73,3
289,17,0.37,-71,208,5,2,66,27,0
257,28,0.05,-74,184,5,2,29,32,0
434,150,4.2,-86,14,44,9,106,65,3
443,175,5.74,-80,14,47,5,178,88,3
321,114,2.56,-70,21,28,8,263,96,1
327,123,1.41,-77,25,17,5,182,77,1
366,99,2.98,-68,28,18,4,235,96,1
298,30,0.01,-75,223,3,0,33,41,0
383,125,2.31,-73,40,18,6,278,83,1
385,106,2.85,-70,20,28,5,230,82,1
412,12,0.08,-70,208,4,0,52,35,0
334,116,1.64,-72,60,26,7,265,97,1
443,160,5.05,-84,34,32,8,145,80,3
304,83,1.08,-74,50,18,5,228,90,1
289,41,0.69,-114,82,8,2,54,48,2
436,81,2.25,-70,43,21,7,235,96,1
282,25,0.1,-75,166,3,1,70,37,0
388,103,3.3,-70,24,21,5,256,75,1
403,18,0.07,-73,173,1,2,24,34,0
423,169,5.94,-78,12,40,6,122,87,3
295,23,0.47,-72,181,4,2,25,39,0
357,53,1.45,-119,54,5,4,46,51,2
410,10,0.49,-74,207,5,1,39,32,0
364,50,1.16,-117,52,8,5,62,48,2
419,17,0.36,-72,228,5,0,58,39,0
439,25,0.23,-72,243,2,1,54,43,0
442,156,6.44,-78,28,30,5,117,74,3
278,60,1.93,-110,59,8,3,59,45,2
311,20,0.34,-69,247,2,1,70,25,0
364,128,5.83,-82,20,43,7,125,80,3
403,41,1.49,-104,51,9,4,96,36,2
292,110,6.02,-85,15,50,7,138,86,3
344,130,6.48,-84,28,38,6,161,77,3
383,116,2.38,-76,35,24,8,292,92,1
463,128,2.48,-78,25,20,7,200,77,1
313,42,0.56,-116,82,7,2,67,39,2
429,141,5.84,-78,23,30,5,127,83,3
407,166,5.01,-80,26,46,9,148,90,3
372,146,6.49,-79,18,36,8,132,86,3
473,118,3.43,-73,59,24,3,265,86,1
249,57,0.99,-112,58,6,5,54,40,2
285,22,0.02,-72,245,4,1,25,42,0
334,39,0.71,-104,57,7,5,82,54,2
387,143,4.09,-80,12,38,4,100,67,3
421,123,5.0,-88,25,37,9,155,73,3
351,109,2.07,-74,35,28,3,190,87,1
440,125,2.74,-76,24,15,5,186,78,1
314,162,4.91,-89,16,45,6,122,79,3
372,151,5.33,-90,19,40,9,134,74,3
324,16,0.41,-69,180,3,0,52,45,0
415,123,3.07,-78,51,25,7,241,83,1
302,27,0.09,-70,223,2,0,67,20,0
403,14,0.21,-73,182,1,2,53,43,0
405,28,0.12,-66,248,2,0,51,33,0
377,35,1.52,-108,84,8,5,63,46,2
307,134,5.71,-86,23,31,9,124,83,3
313,160,6.46,-86,26,34,7,145,67,3
252,14,0.41,-72,182,4,1,22,27,0
238,41,0.88,-117,63,9,5,62,52,2
417,112,2.73,-77,58,15,7,195,76,1
231,36,0.7,-115,65,7,3,50,49,2
287,51,1.21,-114,64,4,6,55,38,2
369,176,5.73,-90,15,34,6,179,72,3
263,57,1.81,-110,74,10,4,66,53,2
298,116,4.79,-89,34,50,8,166,85,3
331,161,7.43,-89,31,33,6,148,70,3
330,30,0.27,-69,178,3,0,50,39,0
266,59,0.61,-100,72,9,2,60,42,2
442,130,4.41,-87,12,31,7,138,70,3
357,89,1.28,-69,47,25,5,256,83,1
325,14,0.12,-66,166,3,2,55,27,0
