Cell_ID,Throughput_Mbps,Latency_ms,Packet_Loss_Percent,Active_Users,PRB_Utilization_Percent,SINR_dB,CQI,CPU_Usage_Percent,Memory_Usage_Percent,Handover_Success_Rate,RRC_Success_Rate,Session_Drop_Rate,Power_Consumption_kW
C00001,939.4085475420219,26.396132619516013,0.4624108625128093,1511,86.78238480559632,18.34769554446554,6,100.0,89.29660797408862,97.36602585662297,95.77665286448403,0.8912151260769133,3.928071453801567
C00002,825.1124257891868,23.547802097476612,0.7277406646422411,781,58.84507579949852,27.508178854159844,10,65.7657847908544,70.30434948148016,95.01694591779074,99.72749837457121,0.12415674768046903,5.315324166809014
C00003,966.5839368581246,18.357782219521045,0.4037900395000194,655,76.0408332530923,12.676219223261612,11,55.887906984307186,83.04091772564293,97.21055724781935,97.84684541166284,0.7559285434072843,3.31879882685112
C00004,1124.1453741534447,14.118379333766557,0.6460192351804799,664,56.33239035473757,17.15679065675863,9,68.00404573397763,68.96306558842092,97.30120498568927,98.05632961499084,0.7953995702692216,3.877386100040681
C00005,807.8523925497996,22.18933988168154,0.0,2054,67.14763084391907,21.53194200151112,13,48.424944552330075,49.33045159575781,93.99390628128504,98.60096245750975,1.0542308326780179,2.7109876094985585
C00006,807.8553477491475,20.3609123125305,0.9066468536864694,1769,70.85113850743082,15.999295791070876,9,97.98341869944518,61.75686324224777,98.99138750874073,96.81788561914449,1.4126739145867406,5.507117823412373
C00007,1134.2583067913306,23.37115932016639,0.8006027376811121,723,72.31725993578591,25.902709203041848,15,58.241278678527664,63.543354693963494,95.23713258954601,98.68453395969904,0.15412946963978325,5.77103009943114
C00008,988.1382512475236,21.811030810091818,0.39145568446590473,1320,71.65481658770786,21.392295765059192,7,50.08720023594077,45.912666453439776,97.18061959841287,97.44938803097273,0.6790104575747802,4.172926569136213
C00009,765.4946105317086,24.29731629191601,1.1296228342162027,1637,82.02746473817379,14.405547924151882,9,39.95759790963935,54.23418935110618,99.32882348107054,96.65512168902922,0.589465881982313,4.202050635186777
C00010,947.6608078454736,14.788588730636592,1.2687850688132793,1661,61.04517413536342,19.02034351137491,13,74.74996344891589,56.91349509484242,98.85135351542773,98.8601712400331,0.8734998743843849,4.953221902282897
C00011,766.5848152937568,25.904364393805956,0.0,946,72.72511409355208,14.476956329060995,10,70.6093734308993,84.08429748847678,97.06866677713766,100.0,0.7862675083734474,5.974482007378255
C00012,766.1686443573537,19.185597628154397,0.4186376107168929,1512,58.616427407193996,14.016708428229528,3,46.04762131454632,28.788892119135326,96.27500199423586,99.08724406022874,0.558981502905352,4.908610747563917
C00013,893.5532088818861,30.451565235751595,0.41542882510635093,327,100.0,17.299010101452094,3,65.3761242122036,78.08727631074065,98.89502381715113,99.38446634771064,0.5236391245556578,3.8024580575248854
C00014,505.60955596159636,13.864873091462593,0.3300484494455677,601,56.307035233545555,24.318805809508905,1,27.845992572168583,45.94807147560926,98.34938995561724,97.21905409015655,0.25341965792638094,2.88117742801356
C00015,539.5147901476541,28.415782818991495,1.2147374209658743,1686,59.49021018483168,21.727225198923584,5,58.329470351316814,39.41881219095579,95.76326995991174,95.60357040624731,1.0951446329626036,3.3848737373365125
C00016,748.788244736625,19.187464700775887,0.7030869306135983,2208,83.2397211551968,17.887111967513718,15,63.1496143373805,77.69913195057697,95.41021270599661,100.0,0.8836816726398117,4.5732194503124655
C00017,667.6903983398038,14.09149197831331,0.6677425793446947,2482,63.558022847482626,21.905930974011962,4,85.73193657206602,70.97847103851572,92.855289636608,100.0,1.067107279118055,3.8446724767992055
