Customer_ID,Annual_Spend,Order_Count,Avg_Order_Value,Days_Since_Last_Purchase,Product_Category_Count,Mobile_App_Usage,Website_Visits,Wishlist_Items,Coupon_Usage_Rate,Return_Rate
CUST_000001,84770.25,104,9216.24,220,3,29,73,78,0.124,0.137
CUST_000002,54350.82,129,13380.85,89,12,114,49,37,0.507,0.003
CUST_000003,94219.46,56,21822.28,231,16,105,9,36,0.052,0.207
CUST_000004,173880.04,118,17246.89,322,12,38,102,91,0.321,0.21
CUST_000005,50822.41,132,2967.24,257,8,4,93,74,0.621,0.048
CUST_000006,50822.99,30,3864.11,152,5,66,131,13,0.841,0.094
CUST_000007,180854.65,12,10817.46,255,11,21,128,74,0.73,0.313
CUST_000008,102457.6,248,5053.55,257,10,27,42,72,0.463,0.015
CUST_000009,43103.86,35,890.67,64,3,21,82,23,0.909,0.196
CUST_000010,87534.83,77,20164.37,189,23,85,132,9,0.303,0.212
CUST_000011,43287.0,180,684.16,90,9,97,103,37,0.754,0.275
CUST_000012,43217.0,159,20801.1,172,12,28,33,42,0.474,0.015
CUST_000013,70924.67,102,3773.78,246,6,42,193,36,0.899,0.234
CUST_000014,15688.82,235,24372.02,255,19,41,23,41,0.797,0.001
CUST_000015,17900.03,87,15176.07,115,16,59,141,31,0.901,0.106
CUST_000016,40392.47,196,18427.58,48,21,118,40,83,0.214,0.2
CUST_000017,29466.76,52,2939.99,226,23,76,169,13,0.668,0.365
CUST_000018,74605.77,80,21580.18,68,24,70,12,3,0.738,0.051
CUST_000019,31709.87,135,21011.97,125,14,73,156,23,0.742,0.068
CUST_000020,22278.72,22,16394.22,212,4,91,192,95,0.504,0.268
CUST_000021,167034.25,221,12656.42,52,18,67,173,9,0.011,0.15
CUST_000022,51121.3,75,18092.93,111,10,58,161,15,0.261,0.249
CUST_000023,62772.34,184,347.02,158,18,95,190,38,0.323,0.399
CUST_000024,22085.49,225,14892.53,239,12,85,131,95,0.852,0.395
CUST_000025,40901.91,58,21215.67,149,19,83,27,17,0.841,0.141
CUST_000026,64708.37,93,9051.12,138,8,111,82,24,0.105,0.202
CUST_000027,26750.39,192,2885.58,112,1,83,128,6,0.95,0.362
CUST_000028,77885.0,103,10637.76,142,14,5,163,55,0.182,0.037
CUST_000029,39322.53,140,18232.19,137,23,72,106,46,0.414,0.181
CUST_000030,48816.05,7,2861.07,303,6,27,12,81,0.215,0.151
CUST_000031,39293.15,128,5310.0,30,14,76,113,81,0.86,0.118
CUST_000032,218949.14,55,3859.29,292,2,30,105,2,0.749,0.398
CUST_000033,59311.11,231,19964.3,107,9,38,4,0,0.354,0.293
CUST_000034,28555.43,106,1759.74,283,12,49,96,32,0.682,0.155
CUST_000035,106487.35,62,17227.35,158,5,77,13,70,0.184,0.332
CUST_000036,25473.89,240,9288.13,325,2,85,79,73,0.382,0.196
CUST_000037,69300.3,90,18943.62,13,19,36,119,58,0.377,0.349
CUST_000038,15187.54,232,24116.71,121,7,117,159,71,0.238,0.107
CUST_000039,23629.94,201,3040.72,214,7,108,177,31,0.876,0.089
CUST_000040,68720.5,233,7996.75,271,10,87,154,86,0.679,0.099
CUST_000041,100400.92,98,20291.11,24,17,71,34,16,0.28,0.215
CUST_000042,67505.06,237,6800.73,321,14,14,2,77,0.242,0.117
CUST_000043,55218.11,77,5534.99,293,11,50,3,16,0.018,0.059
CUST_000044,48495.55,183,20669.37,168,20,104,134,88,0.347,0.398
CUST_000045,21269.61,119,24679.64,102,6,69,130,20,0.527,0.36
CUST_000046,36174.48,36,14010.64,353,8,22,80,54,0.278,0.254
CUST_000047,43371.28,89,7095.61,39,19,24,110,5,0.7,0.357
CUST_000048,125490.53,152,10084.44,234,19,94,58,83,0.412,0.374
CUST_000049,76155.52,172,4419.23,319,24,45,73,48,0.316,0.27
CUST_000050,17428.67,145,19094.8,88,24,92,128,83,0.939,0.207
CUST_000051,75121.25,130,19382.16,99,24,22,155,25,0.263,0.353
CUST_000052,45726.92,141,21903.0,143,17,9,58,31,0.398,0.227
CUST_000053,37277.85,159,859.74,81,24,72,117,71,0.382,0.051
CUST_000054,91874.0,93,14137.14,76,24,112,180,43,0.241,0.147
CUST_000055,123216.67,114,5513.53,58,18,76,137,58,0.217,0.178
CUST_000056,114909.03,28,8653.9,228,12,31,198,28,0.302,0.374
CUST_000057,33274.54,188,19666.9,90,9,112,102,16,0.864,0.264
CUST_000058,48221.07,155,4962.43,353,23,50,130,17,0.767,0.35
CUST_000059,75499.73,143,16030.88,0,24,108,134,39,0.681,0.303
CUST_000060,118525.28,223,16433.24,268,16,40,8,62,0.457,0.124
CUST_000061,42812.18,232,23861.53,285,18,64,98,81,0.508,0.287
CUST_000062,52577.25,207,19423.99,196,16,64,196,74,0.267,0.078
CUST_000063,27599.85,33,20130.15,273,16,100,140,44,0.074,0.163
CUST_000064,25917.02,20,13383.7,77,4,39,167,75,0.331,0.322
CUST_000065,105743.12,170,4832.16,140,23,17,113,78,0.496,0.245
CUST_000066,154719.34,140,10753.97,287,22,35,61,89,0.057,0.33
CUST_000067,56930.86,101,13827.34,70,7,30,61,2,0.088,0.102
CUST_000068,120870.26,201,17024.8,49,1,53,9,2,0.263,0.3
CUST_000069,77122.1,23,15271.19,79,24,62,86,37,0.367,0.081
CUST_000070,38117.02,200,9970.65,234,23,0,10,98,0.393,0.218
CUST_000071,77109.13,224,6779.77,286,20,110,61,72,0.118,0.173
CUST_000072,175716.22,112,4372.12,306,1,51,76,39,0.226,0.223
CUST_000073,58391.28,14,17407.37,154,8,99,103,67,0.262,0.054
CUST_000074,179019.6,91,16205.89,59,23,56,55,53,0.068,0.144
CUST_000075,9567.99,153,17246.84,32,8,8,109,19,0.326,0.267
CUST_000076,106439.47,77,9438.68,126,10,85,48,14,0.072,0.223
CUST_000077,63635.89,247,6707.71,220,1,119,15,92,0.703,0.22
CUST_000078,48566.77,85,19041.09,199,21,91,72,4,0.386,0.204
CUST_000079,63846.21,109,19386.46,125,21,89,115,38,0.327,0.378
CUST_000080,14893.82,31,11499.29,40,14,115,92,39,0.127,0.374
CUST_000081,51340.22,229,15375.22,274,14,73,136,6,0.227,0.144
CUST_000082,76878.29,240,9463.29,296,10,55,32,71,0.233,0.141
CUST_000083,168472.17,122,17608.29,84,19,46,87,95,0.985,0.222
CUST_000084,41656.42,107,20925.9,88,16,2,162,99,0.835,0.038
CUST_000085,33997.91,54,17268.19,41,9,1,38,32,0.015,0.121
CUST_000086,42140.73,133,12912.05,119,20,53,113,36,0.617,0.092
CUST_000087,113638.94,141,11574.72,278,16,36,76,31,0.256,0.089
CUST_000088,75367.07,156,16129.53,32,20,55,86,42,0.104,0.255
CUST_000089,41322.72,43,17059.31,275,8,30,152,62,0.706,0.154
CUST_000090,85758.22,89,14056.49,152,7,96,113,35,0.132,0.068
CUST_000091,64084.27,115,15698.57,89,11,95,55,97,0.444,0.355
CUST_000092,117954.18,99,2595.4,103,21,106,175,48,0.632,0.35
CUST_000093,36627.8,47,23803.78,11,6,11,137,24,0.554,0.345
CUST_000094,47602.31,231,19811.17,159,15,57,40,95,0.978,0.156
CUST_000095,45502.58,71,9473.41,195,19,66,103,65,0.786,0.023
CUST_000096,21494.22,166,14157.75,306,14,118,98,8,0.774,0.043
CUST_000097,73665.08,224,1373.65,261,15,111,58,92,0.356,0.11
CUST_000098,71878.95,67,1222.45,90,6,25,155,17,0.008,0.088
CUST_000099,60088.84,62,6419.8,196,24,77,121,21,0.734,0.35
CUST_000100,50806.98,109,17304.6,68,10,11,119,98,1.0,0.395
CUST_000101,22230.94,167,21333.26,219,14,115,40,14,0.406,0.327
CUST_000102,44602.64,37,14067.81,213,16,89,65,6,0.986,0.292
CUST_000103,47103.37,119,13396.89,145,13,15,178,12,0.142,0.235
CUST_000104,34146.18,242,10177.28,232,11,52,61,35,0.297,0.308
CUST_000105,53481.98,86,4207.63,233,3,71,157,15,0.171,0.379
CUST_000106,79446.22,126,3135.18,213,8,48,39,40,0.475,0.241
CUST_000107,224208.15,136,19064.86,60,3,48,39,20,0.797,0.062
CUST_000108,67656.89,209,23202.09,362,2,91,196,27,0.341,0.066
CUST_000109,71702.81,52,11565.42,77,21,6,101,73,0.906,0.234
CUST_000110,56833.88,91,16554.25,94,14,14,189,82,0.545,0.133
CUST_000111,15628.64,33,22878.55,329,20,104,14,16,0.465,0.364
CUST_000112,58773.14,238,2434.82,215,21,35,123,64,0.787,0.245
CUST_000113,62452.48,81,19307.94,212,22,71,130,12,0.101,0.271
CUST_000114,335799.48,42,15497.06,303,15,73,23,35,0.774,0.002
CUST_000115,52331.16,204,15046.2,199,3,14,168,57,0.243,0.2
CUST_000116,73945.46,112,7455.0,351,1,118,190,19,0.281,0.172
CUST_000117,58436.84,238,17160.56,30,15,61,47,51,0.599,0.282
CUST_000118,26421.29,126,19910.98,289,20,17,188,5,0.902,0.153
CUST_000119,133249.15,155,2998.88,342,22,45,47,22,0.578,0.391
CUST_000120,101351.82,240,13431.33,134,2,100,46,41,0.649,0.268
CUST_000121,104164.05,136,2711.38,82,18,104,183,23,0.777,0.264
CUST_000122,31679.62,151,21839.84,46,1,108,104,4,0.259,0.368
CUST_000123,159844.38,106,12789.39,205,9,60,112,31,0.827,0.398
CUST_000124,22442.33,125,20237.55,76,3,114,7,45,0.418,0.079
CUST_000125,90291.62,113,9328.52,258,2,42,17,16,0.176,0.324
CUST_000126,277428.62,64,3301.94,91,4,43,107,74,0.35,0.065
CUST_000127,29930.24,123,1229.18,99,16,98,83,26,0.246,0.183
CUST_000128,40279.24,221,7181.44,194,22,65,150,67,0.229,0.04
CUST_000129,64199.84,114,6257.0,191,1,54,196,22,0.283,0.249
CUST_000130,42090.07,20,14096.73,67,9,85,64,86,0.181,0.187
CUST_000131,20222.19,16,739.12,241,8,78,108,33,0.668,0.251
CUST_000132,62817.82,145,13110.15,89,6,100,45,20,0.58,0.271
CUST_000133,28463.77,208,9915.94,344,20,38,65,21,0.648,0.248
CUST_000134,83409.27,19,14512.63,9,18,99,79,64,0.344,0.118
CUST_000135,31457.82,120,17619.95,263,16,4,196,31,0.77,0.335
CUST_000136,177185.78,248,15925.48,267,8,56,149,61,0.13,0.221
CUST_000137,34603.94,136,24619.18,319,23,111,192,27,0.571,0.196
CUST_000138,47789.29,166,3628.98,117,4,14,139,81,0.275,0.395
CUST_000139,105816.53,38,10857.48,249,3,90,146,6,0.528,0.113
CUST_000140,25295.83,181,10735.8,58,15,15,149,53,0.324,0.211
CUST_000141,70208.31,93,10542.92,194,6,56,182,69,0.791,0.273
CUST_000142,149492.26,105,16662.2,49,1,99,105,13,0.891,0.05
CUST_000143,19433.66,100,12347.74,295,18,101,125,93,0.743,0.142
CUST_000144,68134.82,90,13032.33,96,23,81,189,54,0.176,0.321
CUST_000145,71819.98,159,10922.43,126,11,98,178,57,0.275,0.095
CUST_000146,103494.73,44,24794.15,245,3,24,175,43,0.919,0.197
CUST_000147,25188.29,188,23203.52,86,13,21,144,45,0.437,0.252
CUST_000148,23758.14,76,7831.56,76,17,119,12,13,0.941,0.268
CUST_000149,86280.52,247,2967.53,203,18,30,27,43,0.392,0.291
CUST_000150,73709.67,145,21026.17,145,14,100,122,40,0.952,0.346
CUST_000151,71349.46,79,24929.82,148,7,33,66,72,0.926,0.157
CUST_000152,76306.53,73,7456.7,110,7,86,4,94,0.661,0.283
CUST_000153,37196.97,167,9073.07,128,14,15,99,1,0.009,0.293
CUST_000154,70444.3,170,23552.5,252,24,69,187,81,0.4,0.12
CUST_000155,73508.09,176,17836.01,165,15,58,142,4,0.911,0.387
CUST_000156,36313.83,140,7531.83,296,12,14,80,89,0.885,0.346
CUST_000157,221027.44,96,14609.95,136,12,81,43,86,0.187,0.116
CUST_000158,83423.31,89,23616.89,278,8,101,118,11,0.399,0.27
CUST_000159,26006.13,103,20332.97,333,16,12,45,77,0.836,0.287
CUST_000160,94805.96,146,18597.45,10,9,23,156,76,0.578,0.173
CUST_000161,30264.26,207,18477.51,70,2,12,67,98,0.847,0.345
CUST_000162,103876.63,224,4614.9,158,14,64,127,46,0.827,0.276
CUST_000163,134728.5,6,20652.09,215,24,111,48,78,0.907,0.263
CUST_000164,33709.08,122,7047.74,25,24,35,170,34,0.117,0.088
CUST_000165,117519.94,236,23273.09,285,16,48,101,18,0.145,0.163
CUST_000166,79933.21,171,9243.07,161,5,81,195,78,0.083,0.174
CUST_000167,106451.22,116,21469.98,101,5,47,76,62,0.935,0.293
CUST_000168,225879.08,163,6802.59,68,20,96,19,7,0.475,0.247
CUST_000169,50424.29,226,12960.27,132,21,101,110,22,0.064,0.034
CUST_000170,35326.36,230,2850.76,188,18,42,145,12,0.322,0.123
CUST_000171,32123.4,248,16570.95,210,18,5,191,22,0.351,0.189
CUST_000172,33824.23,182,20934.77,242,5,80,176,30,0.81,0.295
CUST_000173,56728.32,249,18017.49,165,11,67,114,29,0.735,0.297
CUST_000174,76024.15,62,13176.81,60,13,13,169,41,0.689,0.196
CUST_000175,72669.97,197,1318.87,361,3,29,11,1,0.022,0.047
CUST_000176,106833.65,210,23349.34,278,17,109,78,10,0.911,0.117
CUST_000177,60421.56,144,17696.14,112,18,83,118,24,0.216,0.102
CUST_000178,165623.74,136,18697.43,29,14,7,35,28,0.629,0.312
CUST_000179,49748.73,89,19908.08,322,12,53,7,21,0.062,0.072
CUST_000180,401964.24,96,18744.04,160,14,65,27,18,0.082,0.186
CUST_000181,92778.22,126,11139.68,233,18,100,115,72,0.01,0.268
CUST_000182,32859.29,90,18393.82,338,20,3,85,40,0.566,0.386
CUST_000183,28293.16,244,15700.66,169,2,73,187,37,0.629,0.4
CUST_000184,83929.35,86,21379.61,317,7,83,48,28,0.05,0.381
CUST_000185,51204.16,159,20101.0,185,15,59,165,73,0.29,0.287
CUST_000186,98696.06,235,1226.08,56,10,119,79,21,0.851,0.299
CUST_000187,83388.55,138,9596.4,239,15,52,185,87,0.101,0.304
CUST_000188,56898.24,184,1060.96,256,17,98,4,7,0.217,0.345
CUST_000189,33098.54,121,2731.46,357,11,111,45,46,0.424,0.381
CUST_000190,20735.59,76,15114.99,200,2,73,97,5,0.842,0.178
CUST_000191,43802.21,245,21870.78,324,21,91,101,6,0.255,0.167
CUST_000192,109040.99,92,3171.65,314,18,14,1,83,0.997,0.184
CUST_000193,69554.48,70,11387.01,301,4,99,24,80,0.355,0.264
CUST_000194,25033.82,148,22789.8,105,9,0,0,35,0.386,0.31
CUST_000195,67590.77,133,20394.66,289,17,21,196,7,0.122,0.348
CUST_000196,78411.21,23,13087.76,100,17,90,167,76,0.68,0.182
CUST_000197,32250.85,137,19334.97,96,17,92,67,87,0.243,0.145
