Transaction_ID,Amount,Time_Gap_Minutes,Customer_Age,Transactions_Per_Day,Channel,Merchant_Category,Location
T000001,1673.85,19.31,25,5,Web,Food,Bengaluru
T000002,1466.88,15.36,53,3,Mobile,Food,Pune
T000003,1335.68,22.71,38,1,Mobile,Food,Hyderabad
T000004,896.28,17.19,59,4,POS,Retail,Mumbai
T000005,1577.73,16.16,20,5,Web,Grocery,Hyderabad
T000006,1289.78,18.54,37,4,Mobile,Retail,Pune
T000007,1313.22,19.97,31,1,Mobile,Bills,Pune
T000008,1573.1,10.2,59,4,Mobile,Retail,Mumbai
T000009,1576.52,24.41,32,6,Mobile,Grocery,Mumbai
T000010,1146.82,12.08,35,7,POS,Food,Hyderabad
T000011,1620.27,11.18,58,5,POS,Grocery,Hyderabad
T000012,1703.74,24.44,52,3,Web,Grocery,Mumbai
T000013,1206.27,18.45,24,1,Web,Food,Hyderabad
T000014,1437.79,17.95,41,5,Web,Bills,Mumbai
T000015,1474.8,25.02,54,7,Web,Grocery,Hyderabad
T000016,2023.4,21.69,56,3,Mobile,Retail,Mumbai
T000017,1530.47,18.5,49,4,POS,Retail,Bengaluru
T000018,2017.26,17.41,53,5,Mobile,Retail,Bengaluru
T000019,1675.51,25.79,23,4,POS,Bills,Pune
T000020,1533.98,24.84,45,1,Mobile,Grocery,Hyderabad
T000021,1362.76,12.68,30,1,Mobile,Food,Pune
T000022,1041.52,34.72,50,3,Mobile,Bills,Bengaluru
T000023,1330.91,17.15,41,1,Mobile,Food,Hyderabad
T000024,1203.89,15.89,56,2,Web,Grocery,Hyderabad
T000025,1477.47,21.72,40,5,Mobile,Grocery,Bengaluru
T000026,1618.31,29.87,43,6,Mobile,Bills,Bengaluru
T000027,1228.63,23.87,55,5,Web,Food,Mumbai
T000028,1191.78,20.38,50,1,Mobile,Food,Pune
T000029,1534.88,17.48,53,3,Web,Retail,Bengaluru
T000030,1247.9,18.65,58,1,Mobile,Retail,Mumbai
T000031,1668.69,24.63,42,2,POS,Food,Mumbai
T000032,1784.73,13.85,43,1,Mobile,Grocery,Mumbai
T000033,1850.17,20.76,26,1,Mobile,Bills,Pune
T000034,1716.17,26.09,28,1,Mobile,Food,Pune
T000035,1602.58,16.43,46,2,Mobile,Food,Mumbai
T000036,1867.27,26.63,58,4,Web,Grocery,Mumbai
T000037,1905.51,15.9,25,7,Web,Bills,Hyderabad
T000038,1721.98,35.31,39,7,Mobile,Food,Mumbai
T000039,1495.99,22.07,25,3,Mobile,Grocery,Mumbai
T000040,1977.55,25.86,50,5,Mobile,Bills,Bengaluru
T000041,2017.95,21.98,34,4,POS,Grocery,Mumbai
T000042,1421.79,23.57,58,5,POS,Grocery,Mumbai
T000043,1341.64,23.89,38,7,Mobile,Retail,Pune
T000044,1030.51,11.89,20,6,Mobile,Bills,Bengaluru
T000045,1870.1,20.26,34,1,Mobile,Food,Pune
T000046,869.34,22.34,43,3,Mobile,Bills,Hyderabad
T000047,1085.86,22.47,25,6,Web,Bills,Bengaluru
T000048,1096.6,12.5,19,7,Web,Retail,Hyderabad
T000049,1552.44,20.7,59,6,Mobile,Retail,Pune
T000050,1838.24,17.45,22,7,Mobile,Grocery,Pune
T000051,2336.16,29.22,57,4,Mobile,Food,Pune
T000052,1042.23,10.05,43,5,Mobile,Food,Bengaluru
T000053,2123.45,16.61,18,2,POS,Retail,Mumbai
T000054,1388.23,18.98,42,5,Mobile,Bills,Hyderabad
T000055,1632.05,28.26,39,5,Mobile,Bills,Mumbai
T000056,1943.42,16.46,46,6,Mobile,Retail,Hyderabad
T000057,1744.68,23.0,53,1,Mobile,Grocery,Bengaluru
T000058,1386.46,22.62,27,2,POS,Bills,Hyderabad
T000059,2176.74,22.07,33,7,POS,Bills,Pune
T000060,1910.35,22.66,29,2,Web,Grocery,Hyderabad
T000061,1668.43,22.34,29,3,POS,Bills,Mumbai
T000062,1265.86,15.66,29,7,Mobile,Grocery,Bengaluru
T000063,959.7,25.58,43,5,POS,Food,Mumbai
T000064,1293.72,24.25,21,2,Web,Grocery,Bengaluru
T000065,1626.7,22.91,38,5,Mobile,Food,Hyderabad
T000066,1761.55,23.05,52,4,Mobile,Retail,Pune
T000067,1691.48,18.99,54,4,Mobile,Grocery,Bengaluru
T000068,1357.23,21.31,34,1,Mobile,Bills,Hyderabad
T000069,1738.68,18.45,53,4,POS,Retail,Pune
T000070,1637.21,19.38,48,4,Web,Retail,Pune
T000071,872.78,17.77,42,4,Web,Bills,Hyderabad
T000072,1718.44,23.14,59,2,Mobile,Retail,Mumbai
T000073,1841.29,19.26,28,2,POS,Grocery,Mumbai
T000074,1531.53,20.41,55,7,Mobile,Bills,Mumbai
T000075,1810.17,18.83,19,5,Mobile,Food,Bengaluru
T000076,1871.24,21.19,39,4,Mobile,Retail,Hyderabad
T000077,889.85,25.35,48,3,Web,Food,Bengaluru
T000078,1800.18,19.2,56,6,Mobile,Grocery,Mumbai
T000079,1261.18,19.76,45,5,POS,Retail,Hyderabad
T000080,1113.52,23.81,42,1,Mobile,Food,Mumbai
T000081,1578.43,20.06,54,4,Web,Bills,Hyderabad
T000082,2296.52,22.03,31,7,Mobile,Grocery,Mumbai
T000083,1805.31,20.92,28,4,POS,Bills,Pune
T000084,1193.55,18.83,25,2,Mobile,Food,Pune
T000085,1861.41,10.95,45,5,POS,Bills,Bengaluru
T000086,1619.61,29.38,50,5,POS,Bills,Pune
T000087,1759.69,27.38,19,2,POS,Food,Bengaluru
T000088,1912.8,17.65,49,7,Mobile,Grocery,Mumbai
T000089,1619.32,19.57,44,1,POS,Food,Hyderabad
T000090,941.95,17.0,23,4,POS,Retail,Hyderabad
T000091,1501.84,20.23,54,5,POS,Food,Bengaluru
T000092,1390.44,12.0,18,3,Mobile,Bills,Mumbai
T000093,1617.58,22.47,51,4,Mobile,Retail,Mumbai
T000094,282.64,18.66,20,3,Mobile,Grocery,Mumbai
T000095,1644.8,26.71,40,7,Web,Food,Mumbai
T000096,1571.09,20.25,51,2,Mobile,Retail,Bengaluru
T000097,1405.71,23.59,55,1,Web,Bills,Mumbai
T000098,1843.54,21.65,22,5,Mobile,Bills,Hyderabad
T000099,903.82,19.72,41,5,POS,Grocery,Mumbai
T000100,1892.94,12.79,28,3,Mobile,Retail,Bengaluru
T000101,882.56,27.5,33,4,Mobile,Bills,Hyderabad
T000102,1478.06,24.78,46,2,Web,Retail,Bengaluru
T000103,1323.87,25.23,59,5,Mobile,Food,Hyderabad
T000104,748.95,22.56,51,1,Mobile,Grocery,Bengaluru
T000105,1255.1,21.07,47,3,POS,Grocery,Hyderabad
T000106,1797.97,16.9,52,5,POS,Retail,Bengaluru
T000107,1487.68,20.28,45,7,Mobile,Food,Hyderabad
T000108,1640.08,16.08,40,6,Web,Bills,Hyderabad
T000109,1374.63,24.51,32,1,Web,Bills,Mumbai
T000110,1916.36,21.12,39,2,Mobile,Grocery,Hyderabad
T000111,1377.58,9.45,27,3,Web,Food,Bengaluru
T000112,2046.98,22.78,25,1,Web,Food,Hyderabad
T000113,1749.01,18.55,51,3,Mobile,Grocery,Mumbai
T000114,1010.5,22.81,39,5,Mobile,Retail,Pune
T000115,1366.33,17.93,47,7,Mobile,Grocery,Bengaluru
T000116,1560.89,24.54,28,4,Mobile,Food,Hyderabad
T000117,2128.31,19.63,19,7,Mobile,Food,Bengaluru
T000118,1349.22,22.47,43,6,Web,Bills,Hyderabad
T000119,1575.55,28.54,18,2,Web,Food,Hyderabad
