Customer_ID,Age,Annual_Income,Total_Orders,Avg_Order_Value,Days_Since_Last_Purchase,App_Sessions_Per_Month,Website_Visits_Per_Month,Wishlist_Count,Cart_Additions_Per_Month,Cluster
C100000,56,2194584,102,8188,324,138,166,46,11,4
C100001,69,425424,19,2549,330,64,121,94,47,1
C100002,46,410964,247,12034,23,13,3,6,57,1
C100003,32,152754,100,10569,213,99,59,55,97,1
C100004,60,1150896,227,9296,180,92,195,82,5,0
C100005,25,193386,82,10199,167,102,171,22,40,4
C100006,38,1542073,40,9129,193,60,116,8,26,2
C100007,56,1883540,248,9325,212,84,18,46,44,3
C100008,36,151803,127,10452,89,31,141,36,85,1
C100009,40,799195,34,4199,72,143,16,3,118,3
C100010,28,1337920,217,9514,304,58,143,97,1,0
C100011,28,2721572,124,11505,300,39,17,38,109,2
C100012,41,1717640,7,14738,364,23,88,46,76,2
C100013,53,2352362,75,9236,113,68,74,11,35,2
C100014,57,963549,38,10851,127,31,100,61,15,1
C100015,41,892635,147,2627,264,80,118,57,105,1
C100016,20,2422923,227,14894,140,18,101,24,69,0
C100017,39,2516500,45,13291,196,2,51,37,97,2
C100018,19,1146068,148,8008,297,50,174,9,4,0
C100019,41,1712256,219,13499,14,114,17,98,72,3
C100020,61,2190132,223,387,82,54,111,18,108,0
C100021,47,212519,217,2223,348,96,188,9,18,4
C100022,55,2147944,120,11506,179,76,22,56,68,2
C100023,19,2297538,130,8033,155,88,1,39,58,2
C100024,38,166486,221,540,205,50,129,19,40,1
C100025,50,295846,37,14271,77,43,199,37,21,1
C100026,29,253216,31,4986,270,54,98,22,61,1
C100027,39,2654741,239,5108,18,19,125,27,105,0
C100028,61,2153756,42,12388,207,8,147,40,117,2
C100029,42,1726555,6,10130,291,93,194,74,72,4
C100030,66,1767309,110,9230,38,42,83,22,116,1
C100031,44,2404047,213,13934,164,22,130,53,31,0
C100032,59,2039572,225,6570,176,68,173,47,21,0
C100033,45,1396903,137,7267,339,74,74,74,90,3
C100034,33,1381002,202,9604,151,22,141,30,87,0
C100035,32,1547791,86,12651,294,110,155,19,76,4
C100036,64,636633,223,5614,24,62,131,23,2,1
C100037,68,324568,181,2618,161,40,123,29,113,1
C100038,61,1999081,139,8694,315,143,5,47,41,3
C100039,69,1613628,118,7043,63,9,84,48,18,1
C100040,20,1986797,83,11249,343,38,86,96,45,2
C100041,54,1487060,105,12480,55,42,1,71,29,2
C100042,68,721631,204,4217,123,57,136,17,63,1
C100043,24,1357581,244,9926,272,58,125,79,96,0
C100044,38,2720255,230,376,297,53,182,77,115,0
C100045,26,310330,16,6530,360,135,19,19,40,3
C100046,56,1324453,13,4973,302,69,98,94,111,2
C100047,35,2542323,166,10264,333,33,125,23,7,0
C100048,21,1610094,141,8202,79,92,146,32,103,4
C100049,42,2949514,143,1656,345,56,112,78,95,0
C100050,31,2098578,18,6203,158,13,30,77,7,2
C100051,67,870995,144,14249,320,141,100,70,62,3
C100052,26,2971953,169,8813,115,149,33,27,43,3
C100053,43,165090,50,11629,158,113,82,69,37,4
C100054,19,2845067,106,12013,282,108,182,21,46,4
C100055,37,988817,108,8735,259,29,195,66,58,1
C100056,45,1990032,197,815,119,80,131,62,116,0
C100057,64,1965995,219,5752,24,117,170,36,13,0
C100058,24,2944823,128,14040,360,111,163,55,34,0
C100059,61,2667755,194,12844,193,131,68,71,84,3
C100060,25,671257,41,9700,81,131,176,7,35,4
C100061,64,1838917,114,3950,294,28,193,33,28,0
C100062,52,1799754,120,14495,243,3,172,8,119,0
C100063,31,1885322,27,3438,311,145,90,30,25,4
C100064,34,2734182,187,11148,363,86,147,19,34,0
C100065,53,421846,65,313,186,118,59,9,116,3
C100066,67,2997578,127,5429,220,78,155,56,88,0
C100067,57,2876151,142,13442,168,78,88,13,59,0
C100068,21,2683496,163,14259,158,35,118,95,42,0
C100069,19,261895,23,1324,219,43,29,39,116,1
C100070,23,439906,235,3318,235,42,166,75,103,1
C100071,59,1969893,22,9332,34,98,7,83,34,2
C100072,21,1211143,27,10966,113,146,106,65,76,4
C100073,46,1808601,178,4820,335,124,90,70,77,3
C100074,35,1205433,25,5996,77,78,4,1,114,2
C100075,43,2050611,98,1747,50,29,148,93,91,0
C100076,61,1536119,182,12255,288,1,196,68,118,0
C100077,51,1256662,177,14702,105,2,156,42,102,1
C100078,27,501289,91,12957,73,40,117,21,97,1
C100079,53,2367223,227,3326,202,86,16,30,66,3
C100080,31,676300,85,6744,68,25,2,1,84,1
C100081,48,209049,103,8628,276,72,6,47,46,1
C100082,65,896918,131,4624,219,121,32,43,42,3
C100083,32,1133330,153,6385,245,119,178,77,65,4
C100084,25,2286232,239,9723,195,124,198,68,30,0
C100085,31,1661007,68,856,29,99,114,23,118,4
C100086,40,596278,57,1918,160,48,62,33,71,1
C100087,57,2481179,15,11582,172,109,175,10,50,4
C100088,38,266293,195,12054,231,63,59,75,83,1
C100089,33,2508337,139,10259,53,40,110,93,55,0
C100090,62,448310,92,430,362,20,94,86,98,1
C100091,35,1579959,3,13527,31,18,87,97,35,2
C100092,64,1332654,125,5560,98,5,176,26,31,1
C100093,41,2379228,244,12101,32,5,71,19,61,0
C100094,43,1639372,18,5311,254,21,44,94,33,2
C100095,42,1335615,110,14315,292,74,199,47,44,4
C100096,62,2450188,181,1474,337,41,90,8,117,0
C100097,58,1217455,9,2728,319,58,101,53,70,1
C100098,46,2773701,127,4500,81,104,193,35,50,4
C100099,32,2969785,79,4122,284,134,33,95,98,2
C100100,62,2705252,104,3115,72,82,140,52,57,0
C100101,18,2594199,72,8394,75,4,197,22,102,0
C100102,42,2158007,168,1550,173,33,71,59,96,0
C100103,24,990582,184,12200,94,5,103,92,71,1
C100104,26,2784496,14,6961,224,28,89,73,91,2
C100105,41,2126942,102,7484,0,59,6,67,10,2
C100106,18,1912994,189,3948,302,72,63,10,5,3
C100107,61,1774611,13,5383,23,27,155,16,107,1
C100108,25,625614,231,14807,122,6,79,54,55,1
C100109,41,429371,175,8808,320,72,37,82,65,3
C100110,28,2936905,74,13706,354,86,171,69,42,0
C100111,68,2330952,108,6679,285,130,104,45,94,4
C100112,34,1849395,222,9531,213,17,94,28,111,0
C100113,25,471605,133,7151,139,111,166,0,101,4
C100114,52,2305000,86,7406,33,133,193,41,54,4
C100115,52,2862957,99,834,329,131,131,22,4,4
C100116,50,1960782,5,14703,333,10,104,99,15,2
C100117,22,1716229,140,14626,364,53,184,62,101,0
C100118,59,2263012,163,5567,67,128,170,17,24,4
C100119,56,1267154,85,13048,307,29,15,53,29,1
C100120,58,2566526,154,10355,236,80,7,91,86,2
C100121,45,156564,129,13775,249,87,1,21,108,3
C100122,24,1252745,241,5773,220,58,64,73,85,3
C100123,26,1682014,138,13221,122,8,82,54,60,1
C100124,25,962773,166,13679,177,117,183,42,98,4
C100125,29,1648550,152,14917,195,102,72,38,89,3
C100126,51,2723489,116,4430,97,52,119,86,104,0
C100127,50,1176978,223,1888,141,110,46,41,91,3
C100128,65,983273,237,4799,207,140,5,55,101,3
C100129,40,2552631,47,6709,111,48,13,56,44,2
C100130,41,729443,87,369,328,31,121,88,98,1
C100131,54,1410795,85,4873,72,28,16,71,55,1
C100132,52,2800967,2,2078,294,80,9,72,14,2
C100133,61,2604762,117,3118,85,83,74,17,45,2
C100134,57,1979117,95,12927,194,146,43,48,48,3
C100135,39,2746577,124,3673,271,47,179,75,72,0
C100136,44,2086915,130,9454,72,87,103,46,2,0
C100137,52,1493777,158,2171,55,79,183,55,99,4
C100138,18,2351144,153,11038,77,65,88,69,37,0
C100139,52,1992401,113,1839,61,11,154,5,114,0
C100140,54,1798268,83,5203,245,113,161,20,20,4
C100141,64,2076964,190,10066,170,108,142,86,114,0
C100142,31,1177635,1,4028,290,77,19,72,67,2
C100143,20,2331765,101,411,96,77,37,74,112,2
C100144,18,2538632,220,8751,153,41,91,95,113,0
C100145,22,2436938,191,1697,261,15,194,24,18,0
C100146,43,2463730,212,4770,273,47,130,94,56,0
C100147,31,1619123,187,8214,196,22,177,67,42,0
C100148,56,1597376,112,1524,20,55,46,68,26,2
C100149,44,1545489,54,5622,226,103,142,83,117,4
C100150,26,2136899,197,13932,167,94,28,88,116,3
C100151,32,2538078,183,9994,296,46,98,56,115,0
C100152,32,2745076,94,3004,17,129,105,99,113,2
C100153,43,1811298,215,6941,313,135,41,40,52,3
C100154,59,2045781,42,7147,19,1,62,0,69,2
C100155,30,2926336,219,10639,290,26,1,99,96,0
C100156,68,663720,53,13914,166,77,76,13,39,1
C100157,49,1287088,234,4413,2,6,84,45,38,1
C100158,56,2577740,65,12402,326,5,143,84,43,0
C100159,66,741235,137,13765,136,19,193,47,34,1
C100160,69,286529,114,13379,152,14,177,18,40,1
C100161,49,399759,199,12876,19,110,166,91,43,4
C100162,21,767518,51,2949,8,99,35,4,17,3
C100163,47,2255999,218,10312,14,95,42,95,48,3
C100164,54,1942148,118,3715,15,59,11,41,17,2
C100165,40,322381,16,3545,99,90,127,4,16,4
C100166,56,426802,181,11511,150,6,43,12,9,1
C100167,62,1942864,70,5255,82,59,140,87,86,2
C100168,32,1587598,190,14533,349,64,83,35,45,0
C100169,60,560743,234,2260,14,134,181,84,45,4
C100170,46,1608573,37,836,305,112,41,55,8,2
C100171,53,2247797,189,12986,169,39,171,18,77,0
C100172,30,1296052,185,13590,286,36,157,97,19,0
C100173,49,2926502,173,1034,132,140,141,26,36,4
C100174,24,629268,76,11725,152,31,91,75,49,1
C100175,68,1741482,88,5854,287,68,64,9,2,2
C100176,39,208827,126,7572,346,107,18,35,21,3
C100177,45,509533,17,1651,80,141,162,58,107,4
C100178,19,2896554,121,5190,363,125,176,59,23,4
C100179,59,771014,130,375,304,13,164,4,108,1
C100180,62,1850941,223,2314,86,107,147,24,94,0
C100181,23,1978799,37,831,3,134,188,23,103,4
C100182,45,1069466,182,13915,272,32,135,55,66,1
C100183,45,2231577,170,1504,194,148,170,93,112,4
C100184,61,582457,29,8810,176,7,45,59,101,1
C100185,61,2156331,65,8892,319,22,72,67,64,2
C100186,37,2579247,236,4618,298,34,13,68,97,0
C100187,47,395224,206,13818,206,7,78,91,3,1
C100188,28,705833,119,6859,118,120,77,69,79,3
